OrdenCorrida;Modelo;Experto;iso37;iso36;iso35;iso34;iso33;iso32;iso31;iso41;iso42;iso43;iso44;iso45;iso46;iso47;ancho intercanino (3-3);anchura interpremolar (4-4);anchura interpremolar (5-5);ancho intermolar;voto_mayoritario;experto
104;6;Experto 2;10,32;10,48;7,07;6,6;7,36;6,05;5,47;5,63;6,39;7,64;6,71;6,83;10,74;9,92;27,95;30,86;37,24;38,22;2;Ovalado
105;7;Experto 2;10,17;10,44;6,25;5,86;5,84;5,48;5,03;5,06;5,32;6,16;6,56;6,43;11,16;10,25;27,01;28,92;31,05;34,86;2;Ovalado
106;8;Experto 2;10,16;10,9;6,98;7,39;7,56;6,62;5,31;5,3;6,82;7,53;7,83;6,52;10,56;10,15;28,1;27,89;32,13;35,66;2;Ovalado
107;9;Experto 2;10,44;9,84;7,3;6,69;6,13;5,62;5,62;5,2;5,67;6,82;7,02;7,06;10,39;9,77;26,65;24,51;29,64;32,15;2;Ovalado
108;10;Experto 2;10,23;10,35;6,78;6,48;6,23;5,54;5,31;5,34;5,53;6,55;7,02;6,86;10,51;10,02;27,29;31,07;35,17;39,68;2;Ovalado
109;12;Experto 2;10,2;9,37;7,65;7,11;6,77;6,14;5,27;5,28;6,69;6,98;7,01;7,09;9,74;9,91;29,74;29,27;29,27;34,47;1;Cuadrado
110;13;Experto 2;10,33;10,88;7,53;7,48;6,82;5,82;5,08;5,14;6,06;7,18;7,7;7,16;10,96;9,93;28,5;28,14;32,97;34,54;2;Ovalado
111;14;Experto 2;9,76;10,92;7,05;7,08;6,97;5,96;5,79;5,66;6,18;6,69;7,44;7,1;10,74;10,1;27,28;31,91;32,27;34,47;2;Ovalado
112;15;Experto 2;10,36;11,12;7,42;7,36;6,95;5,7;5,29;5,13;5,24;7,31;7,64;8,39;11,4;10,53;28,79;25,24;26,09;31,3;2;Ovalado
113;16;Experto 2;10,58;11,11;7,56;6,5;7,21;5,43;5,27;5,19;5,64;7,13;6,76;7,26;11,35;10,84;25;27,45;31,67;34,69;2;Ovalado
114;17;Experto 2;9,76;10,9;6,6;6,1;6,41;5,4;5,29;5,21;5,2;6,34;6,06;6,05;10,14;9,46;25,19;26,47;29,17;34,84;2;Ovalado
115;18;Experto 2;11,89;12,56;7,46;7,36;7,32;6,05;5,85;5,68;5,67;7,54;7,57;7,8;12,11;11,62;33,21;35,9;39,8;42,44;2;Ovalado
116;19;Experto 2;9,83;10,72;7,17;6,84;6,55;5,63;5,22;5,27;5,76;6,81;6,91;6,62;10,54;9,38;26,99;25,78;31,23;32,67;2;Ovalado
117;20;Experto 2;9,67;11,04;6,7;7,18;7;6,47;5,17;5,38;6,68;7,58;7,32;6,77;11,01;10,1;30,8;30,4;34,69;36,51;2;Ovalado
118;21;Experto 2;10,59;11,95;7,11;6,77;7,04;6,08;5,19;5,34;5,99;6,89;6,72;6,96;11,39;10,84;27,61;28,07;30,58;33,77;2;Ovalado
119;23;Experto 2;8,86;8,81;5,41;5,36;6,73;5,14;4,98;4,65;5,2;6,13;5,83;5,42;9,56;9,17;26,82;29,36;33,88;37,19;2;Ovalado
120;25;Experto 2;10,09;11,26;6,37;6,71;6,4;6,1;5,13;5,05;6,62;7,11;6,85;6,81;10,84;9,81;31,14;31,36;36,09;37,92;2;Cuadrado
121;26;Experto 2;10,87;9,35;7,54;7,52;6,76;6,2;5,5;5,05;6,53;6,84;7,5;7,31;11,07;10,67;26,75;28,67;31,6;32,5;2;Ovalado
122;27;Experto 2;10,23;10,47;6,84;6,59;6,69;6,02;5,62;5,1;5,74;7,01;6,72;6,62;10,26;9,82;25,09;25,25;28,92;34,6;2;Ovalado
123;28;Experto 2;10,37;11,19;7,54;7,63;7,24;6,24;5,51;5,64;6,13;7,44;7,87;7,21;11,08;10,61;24;25,07;32,05;38,54;3;Triangular
124;29;Experto 2;10,38;10,61;7,86;7,13;6,4;5,87;5,45;5,5;6,16;7,57;7,13;7,67;10,46;9,76;31,27;28,93;31,87;35,59;2;Ovalado
125;30;Experto 2;10,9;11,07;6,69;7,06;6,36;6,19;5,17;5,14;5,96;6,96;7,16;6,96;10,02;11,03;28,22;26,16;31,23;35,39;2;Ovalado
126;31;Experto 2;9,74;10,34;6,63;5,97;6,14;5,37;4,88;4,7;5,24;6,2;6,66;7,1;10,06;9,52;30,07;31,2;37,53;40,14;2;Ovalado
127;32;Experto 2;9,61;9,99;6,95;6,89;6;5,48;4,76;4,63;5,46;5,96;6,65;6,52;9,35;9,71;28,92;26,44;30,26;34,98;1;Cuadrado
128;33;Experto 2;9,97;9,76;6,59;6,36;6,45;4,87;4,5;4,58;4,99;7,38;6,24;6,38;10,16;9,16;24,18;27,2;29,96;34,42;1;Cuadrado
129;34;Experto 2;9,98;10,01;6,59;6,09;6,1;5,56;4,92;4,99;5,19;6,24;6,4;6,85;10,24;10,23;23,96;26,67;30,94;33,2;1;Cuadrado
130;36;Experto 2;9,21;9,93;6,15;6,11;6,14;5,29;4,92;4,85;5,26;6,38;6,32;6,39;9,89;9,37;28,64;31,32;35,66;39,09;2;Ovalado
131;38;Experto 2;10,41;10,43;6,77;6,87;7,33;5,48;5,34;4,99;5,35;7,78;6,73;7,09;10,04;9,99;27,09;28,5;30,95;35,75;2;Ovalado
132;39;Experto 2;9,28;10,69;6,05;6;7,15;5,82;5,2;5,32;6,15;7,11;6,6;6,06;10,47;9,37;25,82;27,75;30,59;34,7;2;Ovalado
133;41;Experto 2;10,66;9,47;6,56;6,27;6,48;6,64;5,04;4,92;5,43;6,91;6,69;7,1;9,56;9,83;27,05;32,34;38,17;42,53;2;Ovalado
134;42;Experto 2;9,33;10,41;5,94;6,06;6,77;5,5;5,53;5,35;5,58;6,68;6,27;6,29;10,38;9,57;31,04;34,48;37,6;37,53;2;Ovalado
135;43;Experto 2;9,02;9,4;6,01;5,73;5,91;5,46;4,8;4,98;5,12;6,28;5,89;5,89;10,02;10,06;23,88;26,27;28,46;31,23;1;Ovalado
136;44;Experto 2;9,77;9,92;6,46;6,45;5,85;5,4;4,84;4,97;5,53;6,01;6,03;6,17;10,17;9,86;29,76;31,41;36,05;38,79;2;Ovalado
137;45;Experto 2;10,5;9,89;7,21;7,25;7,16;5,28;4,91;4,91;5,25;7,07;7,5;7;10,27;10,05;27,52;27,73;31,98;35,97;1;Cuadrado
138;46;Experto 2;7,94;8,4;5,83;5,67;6,12;5,18;4,81;4,78;5,18;6,65;6,17;6,21;9,05;8,34;23,58;25,56;29,08;33,24;1;Cuadrado
139;47;Experto 2;9,39;9,74;6,76;7,07;6,61;5,74;5,18;5,1;5,59;7,07;7,4;7,14;9,72;8,84;25,25;26;29,39;35,68;1;Triangular
140;48;Experto 2;8,25;9,73;5,99;5,13;6,4;5,04;4,44;4,49;4,96;6,1;5,7;6,03;9,97;8,21;24,07;24,98;28,06;33,96;2;Ovalado
141;49;Experto 2;10,07;9,47;6,52;6,54;6,52;5,35;4,93;4,82;5,31;6,16;6,78;6,8;10,89;9,87;27,87;30,4;35,02;38,29;2;Ovalado
142;50;Experto 2;8,9;9,5;6,42;6,59;6,81;5,43;5,39;5,02;5,43;6,83;6,41;6,54;10,1;9,4;25,61;25,42;26,64;33;2;Ovalado
143;51;Experto 2;9,53;9,22;6,54;6,27;6,6;5,65;4,9;4,93;5,77;6,75;6,3;6,52;9,49;9,91;28,89;30,4;35,75;39,31;2;Ovalado
144;52;Experto 2;8,9;10,45;6,81;7,16;7,33;5,82;4,8;4,92;5,81;7,48;6,88;6,9;10,42;9,45;27,83;23,22;26,64;31,42;3;Triangular
145;53;Experto 2;9,71;9,79;7,1;6,29;6,71;5,99;5,12;5,11;5,96;7;6,73;7,19;9,66;9,89;25,63;27,03;33,73;38,33;2;Ovalado
146;54;Experto 2;8,31;9,04;5,93;5,98;6,59;5,03;4,55;4,75;5,04;5,87;6,32;6,27;9,6;9,02;25,13;28,08;31,35;33,3;2;Ovalado
147;55;Experto 2;9,36;10,37;5,84;6,44;7,04;5,55;4,83;4,95;5,77;6,75;6,4;6,01;10,66;9,28;23,54;25,14;28,01;31,11;3;Triangular
